decoded_text,encoded_ids,is_single_token,placeholder,placeholder_count,sample_text
<FW_MASK>,5,True,<FW_MASK>,1,<FW_MASK>
<CONTENT_MASK>,6,True,<CONTENT_MASK>,1,<CONTENT_MASK>
<mask>,4,True,<mask>,1,<mask>
<ABL_MASK>,7,True,<ABL_MASK>,1,<ABL_MASK>
<s> look <FW_MASK> at that</s>,0 405 228 5 393 313 2,True,<FW_MASK>,1,look <FW_MASK> at that
<s> look <FW_MASK> at that</s>,0 405 228 5 393 313 2,True,<CONTENT_MASK>,0,look <FW_MASK> at that
<s> look <FW_MASK> at that</s>,0 405 228 5 393 313 2,True,<mask>,0,look <FW_MASK> at that
<s> look <FW_MASK> at that</s>,0 405 228 5 393 313 2,True,<ABL_MASK>,0,look <FW_MASK> at that
<s> you <CONTENT_MASK> it</s>,0 276 228 6 295 2,True,<FW_MASK>,0,you <CONTENT_MASK> it
<s> you <CONTENT_MASK> it</s>,0 276 228 6 295 2,True,<CONTENT_MASK>,1,you <CONTENT_MASK> it
<s> you <CONTENT_MASK> it</s>,0 276 228 6 295 2,True,<mask>,0,you <CONTENT_MASK> it
<s> you <CONTENT_MASK> it</s>,0 276 228 6 295 2,True,<ABL_MASK>,0,you <CONTENT_MASK> it
<s> i want<mask> .</s>,0 270 404 4 267 2,True,<FW_MASK>,0,i want <mask> .
<s> i want<mask> .</s>,0 270 404 4 267 2,True,<CONTENT_MASK>,0,i want <mask> .
<s> i want<mask> .</s>,0 270 404 4 267 2,True,<mask>,1,i want <mask> .
<s> i want<mask> .</s>,0 270 404 4 267 2,True,<ABL_MASK>,0,i want <mask> .
